Rk,Season,Lg,GP,G▲,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
87,1989-90,NHL,840,3.68,0.95,4.58,20.77,79.23,30.2,26.6,.881,3.56
88,1987-88,NHL,840,3.71,1.11,5.46,20.29,79.71,30.4,26.8,.880,3.62
89,1988-89,NHL,840,3.74,1.06,5.04,20.99,79.01,30.3,26.6,.879,3.63
90,1980-81,NHL,840,3.84,0.96,4.25,22.53,77.47,30.4,26.7,.876,3.78
91,1982-83,NHL,840,3.86,0.89,3.87,22.92,77.08,30.5,26.7,.875,3.80
92,1984-85,NHL,840,3.89,0.89,4.01,22.20,77.80,30.5,26.7,.875,3.79
93,1983-84,NHL,840,3.94,0.92,4.20,21.91,78.09,30.5,26.7,.873,3.84
94,1921-22,NHL,48,3.96,,,,,,,,3.88
95,1985-86,NHL,840,3.97,1.02,4.62,22.08,77.92,31.0,27.1,.874,3.87
96,1981-82,NHL,840,4.01,0.91,4.00,22.85,77.15,31.1,27.1,.873,3.95
97,1943-44,NHL,150,4.08,,,,,,,,4.08
98,1918-19,NHL,27,4.13,,,,,,,,4.04
99,1920-21,NHL,48,4.23,,,,,,,,4.19
100,1917-18,NHL,36,4.75,,,,,,,,4.98
101,1919-20,NHL,48,4.79,,,,,,,,4.70
